Item,EXM,CodeBLEU,Coverage,Relative_Edit_Error,Edit_Removed_Ratio,Edit_Added_Ratio
IfElseSwap,0.547,0.578,0.819,0.75,0.632,0.487
DeadException,0.706,0.753,0.914,0.946,0.779,0.265
DeadVariable,0.601,0.624,0.909,0.853,0.708,0.188
TryNcatchWrapper,0.692,0.74,0.942,0.413,0.246,0.17
ReturnViaVariable,0.679,0.697,0.927,0.617,0.405,0.145
ShuffleNames,0.815,0.83,0.936,0.318,0.241,0.139
RandomNames,0.862,0.865,0.939,0.234,0.137,0.159
IndependentLineSwap,0.708,0.777,0.917,0.236,0.114,0.07
defUseBreak,0.664,0.714,0.912,0.625,0.508,0.396
