Item,EXM,CodeBLEU,Coverage,Relative_Edit_Error,Edit_Removed_Ratio,Edit_Added_Ratio
IfElseSwap,0.704,0.676,0.776,2.344,0.414,0.107
DeadException,0.734,0.732,0.818,0.472,0.386,0.11
DeadVariable,0.74,0.707,0.817,4.695,0.371,2.646
TryNcatchWrapper,0.808,0.766,0.843,0.608,0.171,0.06
ReturnViaVariable,0.745,0.656,0.785,0.178,0.114,0.035
ShuffleNames,0.789,0.756,0.861,0.451,0.405,0.064
RandomNames,0.829,0.784,0.867,0.204,0.154,0.058
IndependentLineSwap,0.805,0.761,0.841,0.3,0.268,0.038
defUseBreak,0.669,0.69,0.764,1.221,0.417,1.747
