Item,EXM,CodeBLEU,Coverage,Relative_Edit_Error,Edit_Removed_Ratio,Edit_Added_Ratio
IfElseSwap,0.77,0.728,0.802,0.195,0.101,0.043
DeadException,0.872,0.868,0.901,0.045,0.02,0.039
DeadVariable,0.867,0.855,0.893,0.046,0.024,0.023
TryNcatchWrapper,0.872,0.856,0.894,0.044,0.013,0.026
ReturnViaVariable,0.893,0.881,0.949,0.059,0.046,0.029
ShuffleNames,0.805,0.806,0.86,0.116,0.053,0.075
RandomNames,0.832,0.82,0.879,0.175,0.105,0.081
IndependentLineSwap,0.882,0.843,0.871,0.007,0.007,0.007
defUseBreak,0.723,0.736,0.793,0.041,0.012,0.049
