Item,EXM,CodeBLEU,Coverage,Relative_Edit_Error,Edit_Removed_Ratio,Edit_Added_Ratio
IfElseSwap,0.61,0.596,0.777,0.53,0.794,0.2
DeadException,0.844,0.832,0.893,0.426,0.492,0.08
DeadVariable,0.819,0.802,0.884,0.221,0.168,0.179
TryNcatchWrapper,0.813,0.798,0.866,0.14,0.083,0.093
ReturnViaVariable,0.755,0.745,0.877,0.351,0.108,0.368
ShuffleNames,0.731,0.736,0.809,0.392,0.302,0.181
RandomNames,0.784,0.771,0.849,0.212,0.144,0.164
IndependentLineSwap,0.732,0.733,0.873,2.17,3.669,0.118
defUseBreak,0.682,0.697,0.798,0.587,0.804,0.212
