Item,EXM,CodeBLEU,Coverage,Relative_Edit_Error,Edit_Removed_Ratio,Edit_Added_Ratio
IfElseSwap,0.712,0.736,0.821,0.356,0.368,0.03
DeadException,0.806,0.838,0.908,0.39,0.417,0.045
DeadVariable,0.73,0.764,0.905,0.578,0.587,0.046
TryNcatchWrapper,0.832,0.848,0.925,0.191,0.211,0.035
ReturnViaVariable,0.654,0.696,0.926,0.539,0.487,0.14
ShuffleNames,0.789,0.817,0.85,0.282,0.252,0.037
RandomNames,0.719,0.761,0.809,0.402,0.343,0.079
IndependentLineSwap,0.765,0.787,0.812,0.353,0.473,0.008
defUseBreak,0.695,0.757,0.805,0.377,0.411,0.088
