Item,EXM,CodeBLEU,Coverage,Relative_Edit_Error,Edit_Removed_Ratio,Edit_Added_Ratio
IfElseSwap,0.796,0.743,0.849,0.107,0.098,0.0
DeadException,0.925,0.916,0.94,0.018,0.008,0.016
DeadVariable,0.935,0.915,0.948,0.024,0.014,0.013
TryNcatchWrapper,0.94,0.909,0.94,0.029,0.01,0.007
ReturnViaVariable,0.889,0.878,0.98,0.091,0.058,0.049
ShuffleNames,0.861,0.853,0.894,0.038,0.03,0.035
RandomNames,0.919,0.883,0.931,0.042,0.01,0.039
IndependentLineSwap,0.889,0.806,0.889,0.0,0.0,0.0
defUseBreak,0.755,0.763,0.828,0.026,0.009,0.027
