Item,EXM,CodeBLEU,Coverage,Relative_Edit_Error,Edit_Removed_Ratio,Edit_Added_Ratio
IfElseSwap,0.699,0.651,0.785,0.26,0.179,0.085
DeadException,0.773,0.751,0.845,0.303,0.272,0.092
DeadVariable,0.763,0.711,0.84,0.277,0.262,0.071
TryNcatchWrapper,0.844,0.781,0.858,0.134,0.083,0.094
ReturnViaVariable,0.808,0.696,0.838,0.107,0.062,0.024
ShuffleNames,0.829,0.773,0.88,0.363,0.343,0.066
RandomNames,0.884,0.803,0.89,0.111,0.047,0.078
IndependentLineSwap,0.667,0.737,0.889,0.25,0.25,0.25
defUseBreak,0.62,0.656,0.761,0.262,0.221,0.204
