Item,EXM,CodeBLEU,Coverage,Relative_Edit_Error,Edit_Removed_Ratio,Edit_Added_Ratio
IfElseSwap,0.591,0.56,0.742,0.156,0.096,0.123
DeadException,0.903,0.886,0.928,0.081,0.019,0.021
DeadVariable,0.88,0.852,0.925,0.091,0.047,0.068
TryNcatchWrapper,0.882,0.861,0.91,0.059,0.012,0.04
ReturnViaVariable,0.798,0.778,0.919,0.248,0.103,0.178
ShuffleNames,0.801,0.796,0.838,0.095,0.05,0.134
RandomNames,0.85,0.825,0.899,0.087,0.035,0.091
IndependentLineSwap,0.778,0.84,0.889,0.054,0.0,0.208
defUseBreak,0.724,0.732,0.81,0.204,0.255,0.085
